name|netacuity_id|targeting_tag|state_id
Bhuwana|878365|CITY_BHUWANA|52010035
Mamudpur|1355776|CITY_MAMUDPUR|52001309
Harirampur|900789|CITY_HARIRAMPUR|52001309
Siraspur|957334|CITY_SIRASPUR|52009999
Besa|875056|CITY_BESA|52001320
Mundakkal|1341153|CITY_MUNDAKKAL|52010018
Chhapraula|884261|CITY_CHHAPRAULA|52010044
Ratanpur|1355861|CITY_RATANPUR|52001309
Kandi|1355706|CITY_KANDI|52001309
Kalkulam|664993|CITY_KALKULAM|52010036
Akhaipura|864224|CITY_AKHAIPURA|52010035
Jayrampur|905862|CITY_JAYRAMPUR|52001309
Bavdhan|874084|CITY_BAVDHAN|52001320
Vasundhra|966692|CITY_VASUNDHRA|52010044
Rithala|949659|CITY_RITHALA|52009999
Shahpur Jat|1336524|CITY_SHAHPUR_JAT|52009999
Bicholi Mardana|878475|CITY_BICHOLI_MARDANA|52010027
Chak Basantpur|881592|CITY_CHAK_BASANTPUR|52010044
Jakkampudi|904186|CITY_JAKKAMPUDI|52009994
Raninagar|948333|CITY_RANINAGAR|52001309
Sankrail|952672|CITY_SANKRAIL|52001309
Bhagabanpur|738200|CITY_BHAGABANPUR|52001309
Faridpur|1355619|CITY_FARIDPUR|52001309
Haibatpur|899806|CITY_HAIBATPUR|52010044
Hosa Road|902285|CITY_HOSA_ROAD|52010036
Bhagirath Pura|875477|CITY_BHAGIRATH_PURA|52010027
Chhajarsi|884110|CITY_CHHAJARSI|52010044
Vaddepalem|966124|CITY_VADDEPALEM|52009994
Medipalle|930707|CITY_MEDIPALLE|52033962
Sakipur|951324|CITY_SAKIPUR|52010044
Khanapur|1349540|CITY_KHANAPUR|52033962
Mohra|931987|CITY_MOHRA|52010044
Hauz Khas|901490|CITY_HAUZ_KHAS|52009999
Kovalam|919993|CITY_KOVALAM|52010036
Krishnapuram|1333208|CITY_KRISHNAPURAM|52009994
Mundka|933191|CITY_MUNDKA|52009999
Shrirampur|1355893|CITY_SHRIRAMPUR|52001309
Ayanambakkam|867847|CITY_AYANAMBAKKAM|52010036
Bardez|740538|CITY_BARDEZ|52023819
Sherpur|1334994|CITY_SHERPUR|52009998
Gazipur|726647|CITY_GAZIPUR|52001309
Kalinagar|909234|CITY_KALINAGAR|52001309
Mahipalpur|740535|CITY_MAHIPALPUR|52009999
Chandkheda|882740|CITY_CHANDKHEDA|52010002
Rasulpur|1355860|CITY_RASULPUR|52001309
Anakhar|865711|CITY_ANAKHAR|52001320
Colonelganj|886356|CITY_COLONELGANJ|52010044
Wazirabad|1339418|CITY_WAZIRABAD|52010008
Darsi|726045|CITY_DARSI|52009994
Shankarpara|955475|CITY_SHANKARPARA|52001309
Barwala|1336501|CITY_BARWALA|52009999
Khaira|1341820|CITY_KHAIRA|52001320
Gauripur|1355630|CITY_GAURIPUR|52001309
Guindy|726534|CITY_GUINDY|52010036
Molahera|932090|CITY_MOLAHERA|52010008
Ramchandrapur|1355852|CITY_RAMCHANDRAPUR|52001309
Chamri|1351042|CITY_CHAMRI|52010044
Kotwalguda|919977|CITY_KOTWALGUDA|52033962
Tellapur|962005|CITY_TELLAPUR|52033962
Morti|932338|CITY_MORTI|52010044
Prattipadu|945268|CITY_PRATTIPADU|52009994
Kotli Rawalan|919812|CITY_KOTLI_RAWALAN|52010031
Derol|1336649|CITY_DEROL|52010002
Kistaraopalli|917811|CITY_KISTARAOPALLI|52033962
Katan|912981|CITY_KATAN|52001309
Kosad|919449|CITY_KOSAD|52010002
Gopalnagar|1355648|CITY_GOPALNAGAR|52001309
Choa|885804|CITY_CHOA|52001309
Dharchhuwa|890181|CITY_DHARCHHUWA|52010044
Shamshpur|955435|CITY_SHAMSHPUR|52010008
Bela|1350633|CITY_BELA|52010044
Padghe|726341|CITY_PADGHE|52001320
Kattigenahalli|913481|CITY_KATTIGENAHALLI|52010011
Brahmapuri|880649|CITY_BRAHMAPURI|52001320
Baijnatha|869437|CITY_BAIJNATHA|52010044
Barshi|659926|CITY_BARSHI|52001320
Kondakarakam|918881|CITY_KONDAKARAKAM|52009994
Bara|1355523|CITY_BARA|52001309
Venkatapuram|1333359|CITY_VENKATAPURAM|52009994
Wazirganj|967744|CITY_WAZIRGANJ|52010044
Jawal|1341713|CITY_JAWAL|52001320
Mandamarri|928237|CITY_MANDAMARRI|52033962
Sagoni Kalan|950648|CITY_SAGONI_KALAN|52010027
Sardarshahar|659887|CITY_SARDARSHAHAR|52010035
Bellandur|683970|CITY_BELLANDUR|52010011
Patparganj|740536|CITY_PATPARGANJ|52009999
