,city_smaller_name,netacuity_id_x,CITY-CODE,short_name,REGION,check_code
3902,alinye,599521,599521.0,ar,ar,True
3903,gheedaha,599522,599522.0,wb,wb,True
3904,assolna,599531,599531.0,ga,ga,True
3905,along,599536,599536.0,ar,ar,True
3906,ghoksadanga,599538,599538.0,wb,wb,True
3907,baina,599545,599545.0,ga,ga,True
3908,alubari,599550,599550.0,ar,ar,True
3909,ghoramara mandirtala,599551,599551.0,wb,wb,True
3910,bambolim camp,599564,599564.0,ga,ga,True
3911,ghoratori,599565,599565.0,wb,wb,True
3912,bambolim complex,599577,599577.0,ga,ga,True
3913,ayeng,599580,599580.0,ar,ar,True
3914,ghoshgram,599581,599581.0,wb,wb,True
3915,banastrim,599591,599591.0,ga,ga,True
