cluster_id|location_id
55000008|51626799
55000008|51626800
55000008|51626801
55000008|51626802
55000008|51626803
55000008|51626804
55000008|51626805
55000008|51626806
55000008|51626807
55000008|51626808
55000008|51626809
55000008|51626810
55000008|51626811
55000008|51626812
55000008|51626813
55000008|51626814
55000008|51626815
55000008|51626816
55000008|51626817
55000008|51626818
55000008|51626819
55000008|51626820
55000008|51626821
55000008|51626822
55000008|51626823
55000008|51626824
55000008|51626825
55000008|51626826
55000008|51626827
55000008|51626828
55000008|51626829
55000008|51626830
55000008|51626831
55000008|51626832
55000008|51626833
55000008|51626834
55000008|51626835
55000008|51626836
55000008|51626837
55000008|51626838
55000008|51626839
55000008|51626840
55000008|51626841
55000008|51626842
55000008|51626843
55000008|51626844
55000008|51626845
55000008|51626846
55000008|51626847
55000008|51626848
55000008|51626849
55000008|51626850
55000008|51626851
55000008|51626852
55000008|51626853
55000008|51626854
55000008|51626855
55000008|51626856
55000008|51626857
55000008|51626858
55000008|51626859
55000008|51626860
55000008|51626861
55000008|51626862
55000008|51626863
55000008|51626864
55000008|51626865
55000008|51626866
55000008|51626867
55000008|51626868
55000008|51626869
55000008|51626870
55000008|51626871
55000008|51626872
55000008|51626873
55000008|51626874
55000008|51626875
55000008|51626876
55000008|51626877
55000008|51626878
55000008|51626879
55000008|51626880
55000008|51626881
55000008|51626882
55000008|51626883
55000008|51626884
55000008|51626885
55000008|51626886
55000008|51626887
55000008|51626888
55000008|51626889
55000008|51626890
55000008|51626891
55000008|51626892
55000008|51626893
55000008|51626894
55000008|51626895
55000008|51626896
55000008|51626897
55000008|51626898
55000008|51626899
55000008|51626900
55000008|51626901
55000008|51626902
55000008|51626903
55000008|51626904
55000008|51626905
55000008|51626906
55000008|51626907
55000008|51626908
55000008|51626909
55000008|51626910
55000008|51626911
55000008|51626912
55000008|51626913
55000008|51626914
55000008|51626915
55000008|51626916
55000008|51626917
55000008|51626918
55000008|51626919
55000008|51626920
55000008|51626921
55000008|51626922
55000008|51626923
55000008|51626924
55000008|51626925
55000008|51626926
55000008|51626927
55000008|51626928
55000008|51626929
55000008|51626930
55000008|51626931
55000008|51626932
55000009|51626933
55000009|51626934
55000009|51626935
55000009|51626936
55000009|51626937
55000009|51626938
55000009|51626939
55000009|51626940
55000009|51626941
55000009|51626942
55000009|51626943
55000009|51626944
55000009|51626945
55000009|51626946
55000009|51626947
55000009|51626948
55000009|51626949
55000009|51626950
55000009|51626951
55000009|51626952
55000009|51626953
55000009|51626954
55000009|51626955
55000009|51626956
55000009|51626957
55000009|51626958
55000009|51626959
55000009|51626960
55000009|51626961
55000009|51626962
55000009|51626963
55000009|51626964
55000009|51626965
55000009|51626966
55000009|51626967
55000009|51626968
55000009|51626969
55000009|51626970
55000009|51626971
55000009|51626972
55000009|51626973
