,city,REGION,CITY-NAME,CITY-CODE
4260,greater kailash,dl,greater kailash,898506
4261,venkatapur,ka,venkatapur,967072
4262,venkatapur,ts,venkatapur,1349851
4263,ramkrishnapur,wb,ramkrishnapur,947722
4264,balawala,rj,balawala,1347613
4265,balawala,uk,balawala,870140
4266,hazipur,up,hazipur,1351829
4267,hazipur,wb,hazipur,901531
4268,manda,br,manda,928191
4269,manda,gj,manda,1336859
4270,manda,jh,manda,1340033
4271,manda,jk,manda,1340573
4272,manda,od,manda,1346350
4273,manda,rj,manda,1348673
4274,manda,up,manda,1352964
4275,kizhuparamba,kl,kizhuparamba,917881
4276,arakkonam,tn,arakkonam,149107
4277,chak raghunathpur,wb,chak raghunathpur,881853
4278,jafarpur,br,jafarpur,903629
4279,jafarpur,dl,jafarpur,1336508
4280,jafarpur,mp,jafarpur,1343909
4281,jafarpur,pb,jafarpur,1346906
4282,jafarpur,uk,jafarpur,1354936
4283,jafarpur,up,jafarpur,1351913
4284,jafarpur,wb,jafarpur,1355674
4285,bally,wb,bally,63890
4286,karol bagh,dl,karol bagh,148336
4287,alangad,kl,alangad,864538
4288,nandpur,br,nandpur,1334671
4289,nandpur,hp,nandpur,1338032
4290,nandpur,jh,nandpur,935762
4291,nandpur,jk,nandpur,1340608
4292,nandpur,mh,nandpur,1342097
4293,nandpur,mp,nandpur,1345021
4294,nandpur,pb,nandpur,1347184
4295,nandpur,uk,nandpur,1355215
4296,nandpur,up,nandpur,1353272
4297,debipur,br,debipur,1333955
4298,debipur,jh,debipur,1339699
4299,debipur,up,debipur,1351285
4300,debipur,wb,debipur,738201
4301,neelankarai,tn,neelankarai,937170
4302,sattenapalle,ap,sattenapalle,741518
4303,jaypur,jh,jaypur,1339853
4304,jaypur,od,jaypur,1346218
4305,jaypur,wb,jaypur,905861
4306,dhantoli,mh,dhantoli,890015
4307,atarsua,br,atarsua,867454
4308,atarsua,up,atarsua,1350191
4309,penumantra,ap,penumantra,266072
4310,banni,br,banni,871645
4311,banni,hp,banni,1337168
4312,banni,up,banni,1350436
4313,kandavara,ka,kandavara,910427
4314,kotturu,ap,kotturu,743596
4315,diglipur,an,diglipur,593766
4316,beharpur,wb,beharpur,874268
4317,daniyalpur,up,daniyalpur,887524
4318,dhenkanal,od,dhenkanal,148950
4319,ranpur,cg,ranpur,1336281
4320,ranpur,gj,ranpur,660128
4321,ranpur,rj,ranpur,1349000
4322,ranpur,up,ranpur,1353820
4323,ranpur,wb,ranpur,1355857
4324,duddeda,ts,duddeda,892391
4325,kanakpur,as,kanakpur,604016
4326,kanakpur,br,kanakpur,1334282
4327,kanakpur,cg,kanakpur,1335774
4328,kanakpur,od,kanakpur,1346243
4329,kanakpur,uk,kanakpur,1354987
4330,kanakpur,up,kanakpur,1352173
4331,kanakpur,wb,kanakpur,601177
4332,chintalapudi,ap,chintalapudi,266048
4333,nagulapalem,ap,nagulapalem,934937
